timestamp,ip,req_per_IP_5min,error_ratio_per_IP,unique_UA_per_IP,size,Label
2019-01-22 04:31:42,66.249.66.194,148.0,0.0,3.0,0,0
2019-01-22 04:31:42,66.249.66.194,149.0,0.0,3.0,19481,0
2019-01-22 04:31:42,207.46.13.136,41.0,0.0,1.0,37107,0
2019-01-22 04:31:43,37.156.61.40,2.0,0.0,1.0,28536,0
2019-01-22 04:31:43,37.156.61.40,3.0,0.0,1.0,4605,0
2019-01-22 04:31:43,37.156.61.40,4.0,0.0,1.0,7954,0
2019-01-22 04:31:43,37.156.61.40,5.0,0.0,1.0,4820,0
2019-01-22 04:31:43,37.156.61.40,6.0,0.0,1.0,5044,0
2019-01-22 04:31:43,37.156.61.40,7.0,0.0,1.0,5457,0
2019-01-22 04:31:43,37.156.61.40,8.0,0.0,1.0,5369,0
2019-01-22 04:31:43,37.156.61.40,9.0,0.0,1.0,4120,0
2019-01-22 04:31:43,37.156.61.40,10.0,0.0,1.0,7713,0
2019-01-22 04:31:43,37.156.61.40,11.0,0.0,1.0,7356,0
2019-01-22 04:31:43,37.156.61.40,12.0,0.0,1.0,5807,0
2019-01-22 04:31:43,37.156.61.40,13.0,0.0,1.0,6496,0
2019-01-22 04:31:43,37.156.61.40,14.0,0.0,1.0,6454,0
2019-01-22 04:31:44,37.156.61.40,15.0,0.0,1.0,2436,0
2019-01-22 04:31:44,37.156.61.40,16.0,0.0,1.0,4835,0
2019-01-22 04:31:44,37.156.61.40,17.0,0.0,1.0,2815,0
2019-01-22 04:31:44,37.156.61.40,18.0,0.0,1.0,10962,0
2019-01-22 04:31:44,66.249.66.91,111.0,0.0,2.0,41659,0
2019-01-22 04:31:44,66.249.66.194,149.0,0.0,3.0,18759,0
2019-01-22 04:31:44,37.156.61.40,19.0,0.0,1.0,11943,0
2019-01-22 04:31:44,37.156.61.40,20.0,0.0,1.0,6167,0
2019-01-22 04:31:44,37.156.61.40,21.0,0.0,1.0,6383,0
2019-01-22 04:31:44,37.156.61.40,22.0,0.0,1.0,61871,0
2019-01-22 04:31:44,37.156.61.40,23.0,0.0,1.0,133,0
2019-01-22 04:31:44,66.249.66.91,112.0,0.0,2.0,41514,0
2019-01-22 04:31:45,37.156.61.40,24.0,0.0,1.0,2413,0
2019-01-22 04:31:45,66.249.66.194,150.0,0.0,3.0,20296,0
2019-01-22 04:31:45,37.156.61.40,25.0,0.0,1.0,4085,0
2019-01-22 04:31:45,192.15.247.191,34.0,0.0,1.0,19435,0
2019-01-22 04:31:45,66.249.66.194,151.0,0.0,3.0,0,0
2019-01-22 04:31:45,37.156.61.40,26.0,0.0,1.0,2488,0
2019-01-22 04:31:46,37.156.61.40,27.0,0.0,1.0,0,0
2019-01-22 04:31:46,66.249.66.91,112.0,0.0,2.0,41997,0
2019-01-22 04:31:46,66.249.66.194,152.0,0.0,3.0,18744,0
2019-01-22 04:31:46,40.77.167.170,61.0,0.0,2.0,1099,0
2019-01-22 04:31:47,66.249.66.91,113.0,0.0,2.0,43998,0
2019-01-22 04:31:48,2.204.189.28,1.0,0.0,1.0,133,0
2019-01-22 04:31:48,113.190.10.12,1.0,1.0,1.0,2285,0
2019-01-22 04:31:48,66.249.66.194,152.0,0.0,3.0,18326,0
2019-01-22 04:31:48,66.249.66.194,153.0,0.0,3.0,43801,0
